"Time","relative_humidity.mean {site_location: fhz}"
2018-07-27 20:12:00,35.8
2018-07-27 20:14:00,36.1
2018-07-27 20:16:00,36.4
2018-07-27 20:18:00,36.7
2018-07-27 20:20:00,36.9
2018-07-27 20:22:00,37.1
2018-07-27 20:24:00,37.3
2018-07-27 20:26:00,37.6
2018-07-27 20:28:00,37.8
2018-07-27 20:30:00,38
2018-07-27 20:32:00,38.2
2018-07-27 20:34:00,38.4
2018-07-27 20:36:00,38.6
2018-07-27 20:38:00,38.8
2018-07-27 20:40:00,39.1
2018-07-27 20:42:00,39.3
2018-07-27 20:44:00,39.5
2018-07-27 20:46:00,39.6
2018-07-27 20:48:00,39.8
2018-07-27 20:50:00,40.1
2018-07-27 20:52:00,40.3
2018-07-27 20:54:00,40.5
2018-07-27 20:56:00,40.6
2018-07-27 20:58:00,40.9
2018-07-27 21:00:00,41.1
2018-07-27 21:02:00,41.2
2018-07-27 21:04:00,41.3
2018-07-27 21:06:00,41.5
2018-07-27 21:08:00,41.6
2018-07-27 21:10:00,41.6
2018-07-27 21:12:00,41.4
2018-07-27 21:14:00,41.3
2018-07-27 21:16:00,41.2
2018-07-27 21:18:00,41.1
2018-07-27 21:20:00,41.0
2018-07-27 21:22:00,41.1
2018-07-27 21:24:00,41.2
2018-07-27 21:26:00,41.1
2018-07-27 21:28:00,41.2
2018-07-27 21:30:00,41.2
2018-07-27 21:32:00,41.2
2018-07-27 21:34:00,41.3
2018-07-27 21:36:00,41.5
2018-07-27 21:38:00,41.7
2018-07-27 21:40:00,41.7
2018-07-27 21:42:00,41.7
2018-07-27 21:44:00,41.7
2018-07-27 21:46:00,41.7
2018-07-27 21:48:00,41.7
2018-07-27 21:50:00,41.6
2018-07-27 21:52:00,41.7
2018-07-27 21:54:00,41.7
2018-07-27 21:56:00,41.8
2018-07-27 21:58:00,41.9

